,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
1881,25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,278,"[{""id"": 378, ""name"": ""prison""}, {""id"": 417, ""name"": ""corruption""}, {""id"": 796, ""name"": ""police brutality""}, {""id"": 2885, ""name"": ""prison cell""}, {""id"": 4779, ""name"": ""delinquent""}, {""id"": 8622, ""name"": ""parole board""}, {""id"": 9777, ""name"": ""escape from prison""}, {""id"": 12662, ""name"": ""wrongful imprisonment""}, {""id"": 180172, ""name"": ""framed for murder""}, {""id"": 207883, ""name"": ""1940s""}]",en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",136.747729,"[{""name"": ""Castle Rock Entertainment"", ""id"": 97}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-09-23,28341469,142.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205
3337,6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://www.thegodfather.com/,238,"[{""id"": 131, ""name"": ""italy""}, {""id"": 699, ""name"": ""love at first sight""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 4677, ""name"": ""patriarch""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11590, ""name"": ""italian american""}, {""id"": 33421, ""name"": ""crime family""}, {""id"": 165725, ""name"": ""rise to power""}, {""id"": 166462, ""name"": ""mob boss""}, {""id"": 207883, ""name"": ""1940s""}]",en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",143.659698,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Alfran Productions"", ""id"": 10211}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1972-03-14,245066411,175.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,An offer you can't refuse.,The Godfather,8.4,5893
3232,8000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,680,"[{""id"": 396, ""name"": ""transporter""}, {""id"": 1411, ""name"": ""brothel""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 2792, ""name"": ""boxer""}, {""id"": 4076, ""name"": ""massage""}, {""id"": 8627, ""name"": ""stolen money""}, {""id"": 9730, ""name"": ""crime boss""}, {""id"": 10104, ""name"": ""dance contest""}, {""id"": 11242, ""name"": ""junkyard""}, {""id"": 11423, ""name"": ""kamikaze""}, {""id"": 11434, ""name"": ""ambiguous ending""}, {""id"": 11435, ""name"": ""briefcase""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 11442, ""name"": ""heirloom""}, {""id"": 11446, ""name"": ""pulp fiction""}, {""id"": 11447, ""name"": ""reference to al green""}, {""id"": 14604, ""name"": ""theft""}, {""id"": 14707, ""name"": ""brutality""}]",en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",121.463076,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""Jersey Films"", ""id"": 216}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-10-08,213928762,154.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428
2294,15000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://movies.disney.com/spirited-away,129,"[{""id"": 616, ""name"": ""witch""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2640, ""name"": ""twilight""}, {""id"": 3762, ""name"": ""darkness""}, {""id"": 3787, ""name"": ""village and town""}, {""id"": 4652, ""name"": ""bath house""}, {""id"": 4931, ""name"": ""pig""}, {""id"": 5280, ""name"": ""ghost world""}, {""id"": 6016, ""name"": ""biology""}, {""id"": 13008, ""name"": ""train""}, {""id"": 155582, ""name"": ""amusement park""}, {""id"": 196509, ""name"": ""yokai""}, {""id"": 207695, ""name"": ""japanese mythology""}, {""id"": 210024, ""name"": ""anime""}]",ja,千と千尋の神隠し,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,118.968562,"[{""name"": ""Studio Ghibli"", ""id"": 10342}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",2001-07-20,274925095,125.0,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,The tunnel led Chihiro to a mysterious town...,Spirited Away,8.3,3840
1818,22000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",http://www.schindlerslist.com/,424,"[{""id"": 1382, ""name"": ""factory""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 1739, ""name"": ""holocaust""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3599, ""name"": ""defense industry""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 194409, ""name"": ""the holocaust""}]",en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,104.469351,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1993-11-29,321365567,195.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Whoever saves one life, saves the world entire.",Schindler's List,8.3,4329
662,63000000,"[{""id"": 18, ""name"": ""Drama""}]",http://www.foxmovies.com/movies/fight-club,550,"[{""id"": 825, ""name"": ""support group""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 1541, ""name"": ""nihilism""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 4142, ""name"": ""insomnia""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 14819, ""name"": ""violence""}]",en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",146.757391,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Taurus Film"", ""id"": 20555}, {""name"": ""Linson Films"", ""id"": 54050}, {""name"": ""Atman Entertainment"", ""id"": 54051}, {""name"": ""Knickerbocker Films"", ""id"": 54052}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-10-15,100853753,139.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Mischief. Mayhem. Soap.,Fight Club,8.3,9413
3865,3300000,"[{""id"": 18, ""name"": ""Drama""}]",http://sonyclassics.com/whiplash/,244786,"[{""id"": 1416, ""name"": ""jazz""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 1640, ""name"": ""conservatory""}, {""id"": 2176, ""name"": ""music teacher""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 33896, ""name"": ""montage""}, {""id"": 156823, ""name"": ""drummer""}, {""id"": 170418, ""name"": ""public humiliation""}, {""id"": 176095, ""name"": ""jazz band""}, {""id"": 206298, ""name"": ""young adult""}, {""id"": 207739, ""name"": ""music school""}]",en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",192.528841,"[{""name"": ""Bold Films"", ""id"": 2266}, {""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""Right of Way Films"", ""id"": 32157}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-10,13092000,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The road to greatness can take you to the edge.,Whiplash,8.3,4254
809,55000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,13,"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 458, ""name"": ""hippie""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 795, ""name"": ""running""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10624, ""name"": ""bully""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 162365, ""name"": ""military""}, {""id"": 162934, ""name"": ""hugging""}, {""id"": 166980, ""name"": ""shrimping""}, {""id"": 180204, ""name"": ""wounded soldier""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 208143, ""name"": ""park bench""}, {""id"": 215492, ""name"": ""amputee""}]",en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-07-06,677945399,142.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927
1990,18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 803, ""name"": ""android""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 2902, ""name"": ""space battle""}, {""id"": 3373, ""name"": ""snow storm""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 10016, ""name"": ""lightsaber""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 11196, ""name"": ""rebellion""}, {""id"": 160134, ""name"": ""the force""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 178710, ""name"": ""stormtrooper""}, {""id"": 210346, ""name"": ""wookie""}, {""id"": 232452, ""name"": ""jedi master""}, {""id"": 232453, ""name"": ""jedi training""}, {""id"": 232454, ""name"": ""droid""}]",en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",78.51783,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1980-05-17,538400000,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Adventure Continues...,The Empire Strikes Back,8.2,5879
65,185000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://thedarkknight.warnerbros.com/dvdsite/,155,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 3151, ""name"": ""scarecrow""}, {""id"": 4426, ""name"": ""sadism""}, {""id"": 4630, ""name"": ""chaos""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9537, ""name"": ""joker""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10044, ""name"": ""tragic hero""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 18023, ""name"": ""criminal mastermind""}, {""id"": 33518, ""name"": ""district attorney""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 163074, ""name"": ""super villain""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 230775, ""name"": ""batman""}]",en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-07-16,1004558444,152.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,Why So Serious?,The Dark Knight,8.2,12002
